Fecha;Total Dosis 1;Total Dosis 2;Total Dosis 3;Total Dosis 4;1era Dosis Sinovac;2da Dosis Sinovac;3era Dosis Sinovac;4ta Dosis Sinovac;1era Dosis Pfizer;2da Dosis Pfizer;3era Dosis Pfizer;4ta Dosis Pfizer;1era Dosis Astrazeneca;2da Dosis Astrazeneca;3era Dosis Astrazeneca;4ta Dosis Astrazeneca;Montevideo Dosis 1;Montevideo Dosis 2;Montevideo Dosis 3;Montevideo Dosis 4;Artigas Dosis 1;Artigas Dosis 2;Artigas Dosis 3;Artigas Dosis 4;Canelones Dosis 1;Canelones Dosis 2;Canelones Dosis 3;Canelones Dosis 4;Cerro Largo Dosis 1;Cerro Largo Dosis 2;Cerro Largo Dosis 3;Cerro Largo Dosis 4;Colonia Dosis 1;Colonia Dosis 2;Colonia Dosis 3;Colonia Dosis 4;Durazno Dosis 1;Durazno Dosis 2;Durazno Dosis 3;Durazno Dosis 4;Flores Dosis 1;Flores Dosis 2;Flores Dosis 3;Flores Dosis 4;Florida Dosis 1;Florida Dosis 2;Florida Dosis 3;Florida Dosis 4;Lavalleja Dosis 1;Lavalleja Dosis 2;Lavalleja Dosis 3;Lavalleja Dosis 4;Maldonado Dosis 1;Maldonado Dosis 2;Maldonado Dosis 3;Maldonado Dosis 4;Paysandú Dosis 1;Paysandú Dosis 2;Paysandú Dosis 3;Paysandú Dosis 4;Río Negro Dosis 1;Río Negro Dosis 2;Río Negro Dosis 3;Río Negro Dosis 4;Rivera Dosis 1;Rivera Dosis 2;Rivera Dosis 3;Rivera Dosis 4;Rocha Dosis 1;Rocha Dosis 2;Rocha Dosis 3;Rocha Dosis 4;Salto Dosis 1;Salto Dosis 2;Salto Dosis 3;Salto Dosis 4;San José Dosis 1;San José Dosis 2;San José Dosis 3;San José Dosis 4;Soriano Dosis 1;Soriano Dosis 2;Soriano Dosis 3;Soriano Dosis 4;Tacuarembó Dosis 1;Tacuarembó Dosis 2;Tacuarembó Dosis 3;Tacuarembó Dosis 4;Treinta y Tres Dosis 1;Treinta y Tres Dosis 2;Treinta y Tres Dosis 3;Treinta y Tres Dosis 4;Departamento Sin Datos;5 a 11 Dosis 1;5 a 11 Dosis 2;5 a 11 Dosis 3;5 a 11 Dosis 4;12 a 14 Dosis 1;12 a 14 Dosis 2;12 a 14 Dosis 3;12 a 14 Dosis 4;15 a 19 Dosis 1;15 a 19 Dosis 2;15 a 19 Dosis 3;15 a 19 Dosis 4;20 a 24 Dosis 1;20 a 24 Dosis 2;20 a 24 Dosis 3;20 a 24 Dosis 4;25 a 34 Dosis 1;25 a 34 Dosis 2;25 a 34 Dosis 3;25 a 34 Dosis 4;35 a 44 Dosis 1;35 a 44 Dosis 2;35 a 44 Dosis 3;35 a 44 Dosis 4;45 a 54 Dosis 1;45 a 54 Dosis 2;45 a 54 Dosis 3;45 a 54 Dosis 4;55 a 64 Dosis 1;55 a 64 Dosis 2;55 a 64 Dosis 3;55 a 64 Dosis 4;65 a 74 Dosis 1;65 a 74 Dosis 2;65 a 74 Dosis 3;65 a 74 Dosis 4;+ 75 Dosis 1;+ 75 Dosis 2;+ 75 Dosis 3;+ 75 Dosis 4;Rango Sin Datos
09/05/2023;2;1;3;13;0;0;0;0;2;1;3;13;0;0;0;0;1;1;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;1;0;1;1;0;0;0;3;0;0;1;0;0;0;0;3;0;0;0;3;0
08/05/2023;2;4;5;30;0;0;0;0;2;4;5;30;0;0;0;0;2;1;3;25;0;0;0;0;0;0;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;3;3;0;1;1;3;1;1;0;6;0;0;0;6;0;1;1;3;0;0;0;8;0
07/05/2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06/05/2023;0;0;4;3;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;1;0;0;0;0;1;0
05/05/2023;6;1;5;32;0;0;0;0;6;1;5;32;0;0;0;0;2;1;4;26;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;1;0;0;6;1;1;0;1;0;0;1;9;0;0;2;8;2;0;0;4;0;0;1;3;0
04/05/2023;23;16;55;105;0;0;0;0;23;16;55;105;0;0;0;0;4;3;17;29;1;0;1;1;5;4;10;23;2;0;1;5;0;0;11;4;0;0;1;2;1;0;0;2;0;1;1;6;0;1;1;2;2;0;4;11;0;1;0;1;0;0;0;2;0;1;1;1;1;4;4;6;4;0;0;0;0;0;2;5;1;0;0;2;1;0;1;1;1;1;0;2;0;0;1;0;0;1;1;3;0;3;1;3;0;1;2;5;0;7;0;7;9;5;4;4;18;2;1;10;24;0;3;10;19;2;2;7;17;2;1;6;18;0
03/05/2023;4;2;8;22;0;0;0;0;4;2;8;22;0;0;0;0;4;1;4;20;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;3;2;0;1;3;1;0;2;5;0;1;0;4;0;0;3;1;0;0;0;6;0
02/05/2023;7;10;8;26;0;0;0;0;7;10;8;26;0;0;0;0;3;6;7;18;0;0;0;0;1;4;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;1;1;0;1;3;3;7;3;3;1;0;6;0;0;0;2;0;0;0;3;0;1;0;6;0;2;0;4;0
01/05/2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30/04/2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
