nform,nper,sit.conyugal,nivel.educ,parent.jefe,edad,sexo,dedicacion.p,tipo.p,tareas.p,jub.pen,transf.pais,transf.ext,afam,benef.esp
1,1,1,4,3,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
1,2,1,2,1,"[30, +)",1,trabaja,2,9,NA,NA,1,900,NA
1,3,3,2,2,"[30, +)",2,trabaja,2,9,NA,NA,1,NA,NA
1,4,3,4,3,"[15, 18)",2,estudia,NA,NA,NA,NA,NA,NA,NA
1,5,1,2,3,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
1,13,1,NA,3,[0-3),1,NA,NA,NA,NA,NA,NA,NA,NA
2,1,1,5,3,"[15, 18)",2,estudia,NA,NA,NA,NA,NA,NA,NA
2,3,2,3,2,"[30, +)",2,trabaja,2,5,NA,NA,3,1683,NA
2,4,1,3,3,"[15, 18)",1,estudia,NA,NA,NA,NA,NA,NA,NA
2,13,2,3,1,"[30, +)",1,trabaja,5,5,NA,NA,NA,NA,NA
3,1,1,4,3,"[12,15)",1,estudia,NA,NA,NA,NA,NA,NA,NA
3,2,2,2,1,NA,1,trabaja,6,9,NA,NA,NA,NA,NA
3,3,2,2,2,"[30, +)",2,t.hogar,NA,NA,NA,NA,NA,NA,NA
3,4,1,5,3,"[18,21)",2,trabaja,2,9,NA,NA,3,866,NA
3,5,1,5,3,"[15, 18)",1,estudia,NA,NA,NA,NA,NA,NA,NA
3,6,4,4,8,NA,2,trabaja,5,5,3000,NA,NA,NA,NA
4,1,1,5,4,"[15, 18)",2,estudia,NA,NA,NA,NA,NA,NA,NA
4,3,1,2,2,"[30, +)",2,nada,NA,NA,NA,NA,3,1317,NA
4,4,1,2,4,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
5,1,1,4,3,"[15, 18)",2,estudia,NA,NA,NA,NA,NA,NA,NA
5,2,2,2,2,NA,1,trabaja,6,9,NA,NA,NA,NA,NA
5,3,2,2,1,NA,2,t.hogar,NA,NA,4700,NA,3,2102,NA
5,13,1,2,7,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
6,1,1,4,3,"[12,15)",1,estudia,NA,NA,NA,NA,NA,NA,NA
6,2,3,1,1,"[30, +)",1,trabaja,6,9,NA,NA,3,1600,NA
6,3,3,1,2,"[30, +)",2,trabaja,6,9,NA,NA,NA,NA,NA
6,4,1,4,3,"[15, 18)",2,estudia,NA,NA,NA,NA,NA,NA,NA
6,13,1,NA,3,"[3, 6)",1,NA,NA,NA,NA,NA,NA,NA,NA
8,1,1,2,3,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
8,2,2,2,1,"[30, +)",1,trabaja,2,3,NA,NA,3,NA,NA
8,3,2,2,2,"[30, +)",2,desocupado,NA,NA,NA,NA,NA,NA,NA
8,4,1,2,3,"[15, 18)",1,estudia,NA,NA,NA,NA,NA,NA,NA
8,5,1,2,3,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
